Latitude,Longitude,Elevation
42.69528000,18.03940000,12.0
42.69527000,18.03949000,11.0
42.69526000,18.03958000,11.0
42.69524000,18.03966000,12.0
42.69523000,18.03975000,11.0
42.69522000,18.03983000,11.0
42.69521000,18.03990000,11.0
42.69521000,18.03997000,11.0
42.69521000,18.04003000,11.0
42.69521000,18.04010000,11.0
42.69521000,18.04022000,12.0
42.69520000,18.04028000,13.0
42.69520000,18.04039000,13.0
42.69519000,18.04046000,14.0
42.69519000,18.04051000,14.0
42.69517000,18.04058000,15.0
42.69516000,18.04064000,14.0
42.69514000,18.04071000,14.0
42.69512000,18.04078000,14.0
42.69507000,18.04085000,14.0
42.69504000,18.04090000,14.0
42.69500000,18.04097000,14.0
42.69496000,18.04103000,14.0
42.69493000,18.04109000,14.0
42.69488000,18.04116000,14.0
42.69484000,18.04121000,15.0
42.69479000,18.04127000,15.0
42.69474000,18.04133000,15.0
42.69467000,18.04136000,16.0
42.69462000,18.04140000,16.0
42.69455000,18.04141000,17.0
42.69447000,18.04141000,19.0
42.69439000,18.04142000,20.0
42.69431000,18.04143000,21.0
42.69425000,18.04143000,21.0
42.69419000,18.04143000,22.0
42.69413000,18.04143000,22.0
42.69407000,18.04143000,21.0
42.69401000,18.04142000,21.0
42.69398000,18.04139000,21.0
42.69390000,18.04136000,20.0
42.69385000,18.04135000,20.0
42.69377000,18.04132000,19.0
42.69372000,18.04131000,18.0
42.69366000,18.04130000,17.0
42.69363000,18.04128000,17.0
42.69356000,18.04125000,18.0
42.69351000,18.04124000,17.0
42.69343000,18.04119000,18.0
42.69337000,18.04119000,17.0
42.69333000,18.04117000,17.0
42.69328000,18.04114000,16.0
42.69322000,18.04111000,16.0
42.69318000,18.04109000,16.0
42.69312000,18.04107000,15.0
42.69307000,18.04105000,14.0
42.69303000,18.04100000,14.0
42.69298000,18.04095000,14.0
42.69294000,18.04090000,14.0
42.69292000,18.04083000,15.0
42.69291000,18.04076000,16.0
42.69287000,18.04071000,15.0
42.69283000,18.04065000,15.0
42.69277000,18.04062000,14.0
42.69275000,18.04055000,14.0
42.69272000,18.04050000,15.0
42.69272000,18.04041000,17.0
42.69274000,18.04031000,19.0
42.69272000,18.04025000,20.0
42.69268000,18.04019000,20.0
42.69265000,18.04013000,20.0
42.69263000,18.04006000,20.0
42.69261000,18.03999000,21.0
42.69259000,18.03993000,20.0
42.69257000,18.03986000,20.0
42.69255000,18.03981000,20.0
42.69252000,18.03971000,20.0
42.69251000,18.03966000,20.0
42.69249000,18.03959000,20.0
42.69242000,18.03958000,19.0
42.69241000,18.03953000,19.0
42.69239000,18.03946000,19.0
42.69238000,18.03940000,19.0
42.69236000,18.03933000,19.0
42.69235000,18.03926000,19.0
42.69233000,18.03920000,19.0
42.69227000,18.03911000,18.0
42.69225000,18.03906000,18.0
42.69218000,18.03898000,17.0
42.69202000,18.03904000,12.0
42.69195000,18.03898000,10.0
42.69193000,18.03895000,10.0
42.69188000,18.03889000,10.0
42.69186000,18.03886000,11.0
42.69181000,18.03879000,11.0
42.69178000,18.03875000,12.0
42.69173000,18.03870000,12.0
42.69171000,18.03867000,12.0
42.69165000,18.03861000,13.0
42.69162000,18.03857000,13.0
42.69159000,18.03853000,14.0
42.69157000,18.03847000,14.0
42.69154000,18.03838000,14.0
42.69150000,18.03834000,14.0
42.69145000,18.03828000,15.0
42.69141000,18.03826000,15.0
42.69135000,18.03821000,15.0
42.69133000,18.03818000,15.0
42.69126000,18.03810000,15.0
42.69123000,18.03807000,16.0
42.69117000,18.03801000,16.0
42.69114000,18.03798000,16.0
42.69108000,18.03789000,16.0
42.69105000,18.03786000,16.0
42.69099000,18.03781000,16.0
42.69097000,18.03779000,16.0
42.69089000,18.03772000,17.0
42.69087000,18.03769000,18.0
42.69081000,18.03761000,18.0
42.69079000,18.03758000,19.0
42.69074000,18.03751000,19.0
42.69072000,18.03747000,19.0
42.69068000,18.03740000,20.0
42.69066000,18.03735000,20.0
42.69063000,18.03726000,21.0
42.69062000,18.03722000,21.0
42.69060000,18.03714000,21.0
42.69059000,18.03710000,21.0
42.69058000,18.03701000,21.0
42.69057000,18.03696000,21.0
42.69056000,18.03687000,21.0
42.69055000,18.03683000,22.0
42.69051000,18.03673000,22.0
42.69051000,18.03670000,22.0
42.69051000,18.03658000,22.0
42.69051000,18.03654000,23.0
42.69050000,18.03644000,23.0
42.69050000,18.03641000,23.0
42.69051000,18.03630000,23.0
42.69051000,18.03627000,24.0
42.69052000,18.03616000,24.0
42.69052000,18.03613000,24.0
42.69053000,18.03602000,24.0
42.69053000,18.03599000,24.0
42.69053000,18.03589000,25.0
42.69053000,18.03586000,25.0
42.69055000,18.03575000,25.0
42.69055000,18.03571000,25.0
42.69052000,18.03560000,26.0
42.69052000,18.03556000,26.0
42.69052000,18.03544000,27.0
42.69052000,18.03540000,28.0
42.69052000,18.03529000,29.0
